ID,Title,Description,DevelopmentCategory,AgeGroup,excerciseID
547,Spontaneously kind & caring,{NAME} is spontaneously kind & caring.,4,30,3612
548,Shares {HISHER} ideas & listens to others ideas,{NAME} shares {HISHER} ideas & listens to others ideas.,4,30,3611
549,Has awareness of parental approval & disapproval,{NAME} has awareness of parental approval & disapproval.,4,31,3731
550,Can explain imaginary play scenario to invite others to play,"{NAME} can explain imaginary play scenario to invite others to play such as ""playing restaurant"".",4,31,3732
551,Tests boundaries,{NAME} is beginning to tests boundaries such as attempting to do things that are not allowed.,4,32,3839
552,Is able to transition to new environment or activity,{NAME} is able to transition to new environment or activity calmly.,4,32,3840
553,Respects simple rules,{NAME} respects simple rules such as no running in the kitchen.,4,34,3998
554,Can tolerate & stay calm during haircuts,{NAME} can tolerate & stay calm during haircut.,4,34,3046
555,Asks for permission,{NAME} asks for permission.,4,35,4121
556,Defends {HISHER} possessions,{NAME} defends {HISHER} possessions.,4,35,3056
557,Has fewer tantrums,{NAME} has fewer tantrums.,4,36,4146
558,Plays with other kids independently,{NAME} plays with other kids independently through Associative Play.,4,36,4231
559,Becoming more independent,{NAME} is becoming more independent such as playing without you or needing your constant attention.,4,36,4232
560,Imitates adults & children older than {HERHIM},{NAME} imitates adults & children older than {HERHIM} such as and adult talking on the phone or and older kid playing video games.,4,37,
561,Requests permission to do things,{NAME} requests permission to do things.,4,37,
562,Shows affection for people without being asked,{NAME} shows affection for people without being asked.,4,38,
563,Joins other children who are playing,{NAME} joins other children who are playing.,4,38,
564,Is concerned when familiar person is crying,"{NAME} shows empathy & is concerned when familiar person is crying, such as a friend or sibling.",4,39,
565,Is able to play in social situations after a transition time,{NAME} is able to play in social situations after a time of transition such as 5 minutes of watching.,4,39,
566,Is patient enough to take turns while playing,{NAME} is patient enough to take turns while playing.,4,40,
567,May have irrational fears,{NAME} may have irrational fears such as monsters or going down the drain.,4,41,
568,Tries to understand social situations,{NAME} tries to understand social situations by reenacting them during play such as replaying something that happened at the playground.,4,42,
569,May get upset with major changes in routine,{NAME} may get upset with major changes in routine such as taking a nap at a different time or not going to the park.,4,43,
570,Begins to share toys,{NAME} is beginning to share toys with others.,4,46,
571,Separates easily from you,{NAME} separates easily from you without becoming distressed.,4,47,
572,Begins to find ways to resolve arguments,{NAME} is beginning to find ways to resolve arguments.,4,47,
573,Follows objects with eyes,{NAME} follows objects with eyes.,5,2,186
574,Gazes towards moving object,{NAME} gazes towards moving object.,5,2,197
575,Aware of sounds & smells,{NAME} is aware of sounds & smells.,5,2,199
576,Responds when you talk by becoming quiet,{NAME} responds when you talk by becoming quiet.,5,2,206
577,Looks at your face when you approach,{NAME} looks at your face when you approach.,5,2,171
578,"""Roots"" or searches for sources of food when hungry","{NAME} ""roots"" or searches for sources of food when hungry.",5,2,3286
579,Turns head away from light,{NAME} turns head away from light.,5,2,187
580,Switches gaze between object being shown & your face,{NAME} switches gaze between object being shown & your face.,5,2,172
581,Looks in direction of sounds,{NAME} looks in direction of sounds.,5,3,270
582,Tracks objects with eyes,{NAME} tracks objects with eyes.,5,3,281
583,Recognizes your voice,{NAME} recognizes your voice.,5,3,269
584,Touches your face when kissed,{NAME} touches your face when kissed.,5,3,295
585,Gazes attentively,{NAME} gazes attentively especially when you talk to {HERHIM}.,5,3,268
586,Watches you when you are within field of vision,{NAME} watches you when you are within {HISHER} field of vision.,5,3,282
587,Crosses eyes when object is moved close to face,{NAME} crosses eyes when object is moved close to face.,5,3,278
588,Sees objects clearly at a distance of 1 - 2 feet,{NAME} sees objects clearly at a distance of 1 - 2 feet.,5,3,276
589,Follows dangling red ball 180 degrees horizontally & vertically,{NAME}'s eyes follow dangling red ball 180 degrees horizontally & vertically. This demonstrates that {HISHER} eyes are tracking the ball.,5,3,275
590,"Responds to rhythm, music & singing","{NAME} responds to rhythm, music & singing.",5,4,298
591,Puts everything in mouth,{NAME} puts everything in mouth to explore texture & taste.,5,4,367
592,Looks at own hands,{NAME} looks at own hands.,5,4,397
593,Sticks out tongue to imitate others,{NAME} sticks out tongue to imitate others.,5,4,427
594,Strokes own face with hands,{NAME} strokes own face with hands.,5,5,560
595,Rubs toys on head or cheek,{NAME} rubs toys on head or cheek.,5,5,513
596,Notices toys that make sounds,{NAME} notices toys that make sounds.,5,5,490
597,Watches toy falls from field of vision,{NAME} watches toy as it falls out of {HISHER} sight.,5,5,514
598,Touches your mouth while you talk,{NAME} touches your mouth while you talk.,5,6,644
599,Bites objects put in mouth,{NAME} bites objects put in mouth.,5,6,686
600,Kicks stroller or crib to make sounds,{NAME} kicks stroller or crib to make sounds.,5,6,610
601,Squeezes a toy to hear the noise,{NAME} squeezes a toy to hear the noise.,5,6,687
602,Follows with eyes person moving across a room,{NAME} follows with eyes person moving across a room.,5,6,689
603,Opens mouth to be fed,{NAME} opens mouth to be fed.,5,6,688
604,No longer startled by everyday sounds,{NAME} no longer startled by everyday sounds such as a door slamming or a car honking.,5,6,690
605,Responds to different voices,{NAME} responds differently to different voices such as your & your parents.,5,7,825
606,Turns & looks in the directions of noises or talking,{NAME} turns & looks in the directions of noises or talking.,5,7,831
607,Bangs on objects to make noise,{NAME} bangs on objects to make noise.,5,7,786
608,Smashes food to explore texture,{NAME} smashes food to explore texture.,5,7,838
609,Loves playing with paper,{NAME} loves playing with paper.,5,7,840
610,Can distinguish between familiar to unfamiliar voices,{NAME} can distinguish between familiar to unfamiliar voices.,5,7,828
611,Distinguishes different sounds,{NAME} distinguishes between different sounds such as the front door closing & the microwave beeping.,5,8,1031
612,Looks when you point to objects,{NAME} looks when you point to objects.,5,8,1011
613,Turns when you call {HISHER} name,{NAME} turns when you call {HISHER} name.,5,8,983
614,Uses tongue to move food around mouth,{NAME} uses tongue to move food around mouth.,5,8,1013
615,"Investigates shapes, sizes, & textures of objects","{NAME} investigates shapes, sizes, & textures of objects.",5,8,1015
616,Reaches for nearby food,{NAME} reaches for nearby food.,5,8,1012
617,Craves chew toys,{NAME} craves chew toys.,5,8,1030
618,Reaches for water when faucet is turned onto wash hands,{NAME} reaches for water when faucet is turned onto wash hands.,5,9,1202
619,Explores object's texture by putting in mouth,{NAME} explores object's texture by putting in mouth.,5,9,1228
620,Watches people in distance,{NAME} watches people in distance.,5,9,1235
621,Enjoys a variety of types of movements,{NAME} enjoys a variety of types of movements such as bouncing or rocking.,5,9,1115
622,Focuses on objects near & far,{NAME} focuses on objects near & far.,5,9,1200
623,Observes environment from a variety of body positions,{NAME} observes environment from a variety of body positions such as sitting or lying down.,5,9,1093
624,Shows strong reaction to new smells & tastes,{NAME} shows strong reaction to new smells & tastes.,5,9,1234
625,Shows interest in where people are looking or pointing,{NAME} shows interest in where people are looking or pointing.,5,9,1204
626,Recognizes beginning of song,{NAME} recognizes beginning of song.,5,10,1441
627,Tolerates a range of different textured foods,{NAME} tolerates a range of different textured foods.,5,10,1391
628,Enjoys listening to songs,{NAME} enjoys listening to songs.,5,10,1441
629,Forms associations between familiar smells & tastes,{NAME} forms associations between familiar smells & tastes.,5,10,1424
630,Recognizes familiar people at distance of 20 feet or more,{NAME} recognizes familiar people at distance of 20 feet or more.,5,11,1570
631,"Explores objects with hands, fingers, & mouth","{NAME} explores objects with hands, fingers, & mouth.",5,11,1149
632,Crawls to object in distance,{NAME} crawls to object in distance.,5,11,1469
633,Enjoys different textures,"{NAME} enjoys different textures such as the feel of food, a soft blanket, paint, etc.",5,11,1585
634,Explores objects using fingers & mouth,{NAME} explores objects using fingers & mouth.,5,11,1613
635,Watches movement of other people with interest,{NAME} watches movement of other people with interest.,5,12,1731
636,Reacts to extremes in temperature,{NAME} reacts to extremes in temperature.,5,12,1589
637,Understands many familiar sounds & words,{NAME} understands many familiar sounds & words.,5,12,1634
638,Moves towards sounds in distance,{NAME} moves towards sounds in distance.,5,12,1742
639,Bothered by wet diaper,{NAME} is now bothered by having to wear a wet diaper.,5,13,1862
640,Enjoys messy play,{NAME} enjoys messy play.,5,16,2199
641,Understands some common dangers,"{NAME} understands common dangers such as a hot stove, stairs, & broken glass.",3,17,2312
642,Can tell the difference between edible & inedible objects,{NAME} can tell the difference between edible & inedible objects such as a toy apple & a real apple.,5,18,2456
643,Recognizes fine detail in images,{NAME} recognizes fine detail in images such as the feathers on a bird or the teeth on a dinosaur.,5,24,3064
644,Enjoys various textures after multiple exposures,{NAME} enjoys various textures after multiple exposures.,5,29,3533
645,Makes sounds & moves arms & legs when excited,{NAME} makes sounds & moves arms & legs when excited.,6,2,163
646,Smiles when kissed,{NAME} smiles when kissed.,6,2,183
647,Smiles in response to your singing,{NAME} smiles in response to your singing.,6,2,190
648,Squeals when excited,{NAME} squeals when excited.,6,2,206
649,Expresses sounds of pleasure when picked up,{NAME} expresses sounds of pleasure when picked up.,6,2,206
650,Begins to show self-regulation of crying,{NAME} begins to show self-regulation of crying.,6,2,166
651,Gurgles when happy,{NAME} gurgles when happy.,6,3,271
652,Makes cooing sounds,{NAME} makes cooing sounds in response to you or seeing something interesting.,6,3,310
653,"Makes and ""ah"" sound","{NAME} makes and ""ah"" sound.",6,3,309
654,Touches your arm while feeding,{NAME} touches your arm while feeding.,6,3,265
655,Makes vowel-like sounds,"{NAME} makes vowel-like sounds such as ""ahh"", ""eee"", ""oh"".",6,4,425
656,Giggles & laughs,{NAME} giggles & laughs.,6,4,424
657,Uses body language to communicate,{NAME} uses body language to communicate such as turning away to communicate that {HISHER} wants that diaper change to be over.,6,4,422
658,Makes bursts of sounds,{NAME} makes bursts of sounds.,6,5,579
659,Makes sounds in response to social contact,{NAME} makes sounds in response to social contact.,6,5,578
660,Expresses sounds to communicate pleasure or frustration,{NAME} expresses sounds to communicate pleasure or frustration.,6,5,576
661,Makes different sounds in response to different situations,"{NAME} makes different sounds in response to different situations such as ""eee"" when {HISHER} sees the bottle or ""oh, oh"" when shown a new toy.",6,5,576
662,Uses body to help communicate needs,{NAME} uses body to help communicate needs like touching you to get your attention.,6,5,574
663,Makes various sounds & laughs,{NAME} makes various sounds & laughs.,6,6,677
664,Listens & imitates sounds,{NAME} listens & imitates sounds.,6,6,722
665,"""Interrupts"" when people are talking","{NAME} ""interrupts"" when people are talking.",6,6,722
666,Babbles,{NAME} babbles by making random noises.,6,6,1058
667,Makes sing-song sounds,{NAME} makes sing-song sounds.,6,6,725
668,"Makes speech-like sounds such as ""pa"", ""ba"" & ""mi""","{NAME} makes speech-like sounds such as ""pa"", ""ba"" & ""mi"".",6,6,724
669,"Makes ""mmm mmm"" sound when tastes something yummy","{NAME} makes ""mmm mmm"" sound when tastes something yummy.",6,6,723
670,Babbles long strings of sounds,"{NAME} babbles long strings of sounds such as ""babababa"", ""mimi"", ""upupup"".",6,7,1257
671,Tries out making different noises with mouth,{NAME} tries out making different noises with {HISHER} mouth.,6,7,888
672,"Makes ""raspberry"" noises with tongue","{NAME} makes ""raspberry"" noises with tongue.",6,7,881
673,"""Sings"" along with you","{NAME} ""sings"" along with you.",6,8,1058
674,Makes new sounds with lips & tongue,{NAME} makes new sounds with lips & tongue.,6,8,1059
675,Understands a few words for some common items,{NAME} understands a few words for some common items such as bottle.,6,8,1060
676,Cries & look for help when toy drops out of reach,{NAME} cries & look for help when toy drops out of reach.,6,8,1033
677,Expresses displeasure doesn't want to do something,{NAME} expresses displeasure doesn't want to do something like putting on shoes.,6,8,1065
678,"Says ""eh"" to get attention","{NAME} says ""eh"" to get attention.",6,9,1262
679,Clicks tongue,{NAME} clicks tongue.,6,9,1254
680,Makes sounds & uses gestures to get & keep your attention,{NAME} makes sounds & uses gestures to get & keep your attention.,6,9,1256
681,Changes sounds made to communicate feelings,"{NAME} changes sounds {HESHE} makes to communicate feelings such as happiness, frustration, or hunger.",6,9,1258
682,Lets you know when {HISHER} is done with a task,{NAME} lets you know when {HESHE} is done with a task such as pulling off bib when done eating.,6,9,1260
683,Uses gestures to ask for things,{NAME} uses gestures to ask for things such as holding out sippy cup to get more juice.,6,9,1182
684,Makes noise & touches you to get attention,{NAME} makes noise & touches you to get attention.,6,9,1182
685,"Shakes head to indicate ""no""","{NAME} shakes head to indicate ""no"".",6,9,1624
686,"Makes two different vowel sounds like ""o"", ""a"" or ""e""","{NAME} makes two different vowel sounds like ""o"", ""a"" or ""e"".",6,9,1254
687,"Makes ""d"",""b"", ""l"", ""m"" sounds","{NAME} makes ""d"",""b"", ""l"", ""m"" sounds.",6,10,1444
688,Begins to understand more words,{NAME} is beginning to understand more words.,6,10,1443
689,Likes to babble,{NAME} likes to babble.,6,10,1445
690,Communicates by making gestures,"{NAME} communicates by making gestures such as waving bye, shaking head, or reach to be picked up",6,10,1439
691,Uses body language to engage you in and activity,{NAME} uses body language to engage you in and activity such as handing you a book to read to {HERHIM}.,6,10,1438
692,Makes noise to respond to you calling {HISHER} name,{NAME} makes noise to respond to you calling {HISHER} name.,6,10,1364
693,Makes 3 vocal sounds,"{NAME} makes 3 vocal sounds like giving ""raspberries"", whining, & laughing.",6,10,1444
694,Notices noise made when yawning,{NAME} notices noise made when yawning.,6,11,1619
695,Listens for response to {HISHER} babbling,{NAME} listens for response to {HISHER} babbling.,6,11,1625
696,Starts to respond to commands & questions,"{NAME} is starting to respond to commands & questions such as ""No,"" ""Come here"", ""Want more?""",6,11,1625
697,Makes sounds pairing vowel & consonant together,"{NAME} makes sounds pairing vowel & consonant together like ""dada"", ""mama"" or ""baba"".",6,11,1628
698,"Babbles - ""dada"", ""momom"", ""abba""","{NAME} babbles - ""dada"", ""momom"", ""abba"".",6,12,1760
699,Understands certain frequently used words,"{NAME} understands certain frequently used words such as juice, cup, snack, toy.",6,12,1711
700,Responds to frequently used words,"{NAME} responds to frequently used words such as ""Where is your cup?""",6,12,1714
701,Babbles with inflection,{NAME} babbles with inflection.,6,12,1764
702,Says first word,{NAME} has said First Word!,6,12,1758
703,Points at objects to get you to name it,{NAME} points at objects to get you to name it.,6,12,1765
704,Tries to imitate silly noises made by others,"{NAME} tries to imitate silly noises made by others such as ""brrr"".",6,12,1756
705,Copies sounds that you make,{NAME} copies sounds that you make.,6,12,1757
706,Recognize words for common items,"{NAME} recognize words for common items such as plate, car, dog, or tree.",6,12,1965
707,"Says 2 - 6 words other than ""mama"" & ""dada""","{NAME} says 2 - 6 words other than ""mama"" & ""dada"".",6,13,1890
708,"Says ""uh-oh"" when something drops","{NAME} says ""uh-oh"" when something drops.",6,13,1894
709,Makes animals sounds,{NAME} makes animals sounds when pointing to and image of the animal.,6,13,1896
710,Imitates simple gestures to communicate,{NAME} imitates simple gestures to communicate like blowing a kiss.,6,13,1882
711,Communicates preferences,{NAME} communicates preferences such as a favorite toy.,6,13,1851
712,Indicates preferred food or toy when not offered,{NAME} indicates preferred food or toy when not offered such as bringing you a different snack then the one you are preparing.,6,13,1885
713,Uses hand gestures to emphasize speech,{NAME} uses hand gestures to emphasize speech such as pointing to a toy that [he/she] wants.,6,14,1993
714,Uses inflection to indicate a question,{NAME} uses inflection to indicate a question.,6,14,1995
715,Attempts to get attention by using words or sounds,{NAME} attempts to get or keep attention by using words or sounds made by animals or cars.,6,14,2097
716,Communicates to share interests with you,{NAME} communicates to share interests with you such as pointing to a squirrel or bringing you a toy dinosaur.,6,14,1956
717,"Uses index finger in ""shhh"" gesture","{NAME} uses index finger in ""shhh"" gesture.",6,14,1991
718,"Says ""no"" to refuse food or activity","{NAME} says ""no"" to refuse food or activity.",6,14,1948
719,10 word vocabulary of expressions,{NAME} 10 word vocabulary of expressions that have meaning to {NAME}.,6,15,2102
720,"Communicates ""no"" or ""I don't know"" with words or gestures","{NAME} can communicate ""no"" or ""I don't know"" with words or gestures",6,15,2055
721,Calls to you to get your attention,{NAME} calls to you to get your attention.,6,15,2214
722,"Can communicate ""yes"" by nodding head","{NAME} can communicate ""yes"" by nodding head.",6,15,2097
723,"Gives a thumbs up to indicate ""yes""","{NAME} gives a thumbs up to indicate ""yes"".",6,15,2097
724,"Holds hand up to indicate ""wait""","{NAME} holds hand up to indicate ""wait"".",6,15,2097
725,"Answers a question with words, sounds or gestures","{NAME} can answer a question with words, sounds or gestures.",6,15,2096
726,Comprehends more than can speak,{NAME} comprehends more words than can [he/she] speak.,6,16,2218
727,Waves goodbye,{NAME} waves goodbye.,6,16,2229
728,"Makes ""t"",""d"", ""n"", ""w"", ""h"" sounds","{NAME} makes ""t"",""d"", ""n"", ""w"", ""h"" sounds.",6,16,2215
729,Intentionally directs speech at you,{NAME} intentionally directs speech at you.,6,16,2214
730,Uses symbolic gestures,"{NAME} uses symbolic gestures such as ""high 5"" & peace sign.",6,16,2217
731,Says 8 to 10 words others can understand,{NAME} says 8 to 10 words others can understand.,6,17,2234
732,"Says ""hi,"" ""bye,"" & ""please"" when asked","{NAME} says ""hi,"" ""bye,"" & ""please"" when asked.",6,17,2336
733,Use gestures & words to communicate thoughts,"{NAME} uses gestures & words to communicate thoughts such as pointing & saying ""cup"" to show you that {HESHE} wants water.",6,17,2331
734,Can names some objects,{NAME} can names some objects such as cup.,6,17,2330
735,"Frequently says ""no""","{NAME} frequently says ""no"".",6,18,2421
736,Connects two words to communicate a thought,"{NAME} puts two words together such as ""car boo-boo"" for broken toy car. This is called telegraphic speech.",6,18,2455
737,Use a variety of single words,{NAME} use a variety of single words.,6,18,2458
738,Has a 20-word vocabulary,{NAME} has a 20-word vocabulary.,6,18,2455
739,Can use words to respond to simple questions,"{NAME} can use words to respond to simple questions about {HISHER} choices such as ""Do you want juice or water?""",6,18,2456
740,Understands 20-50 words,{NAME} understands 20-50 words.,6,18,2454
741,Refers to {HIMSELFHERSELF} by name,{NAME} refers to {HIMSELFHERSELF} by name.,6,19,2554
742,Uses words to point out something interesting,{NAME} uses words to point out something interesting such as bug on the sidewalk.,6,19,2557
743,Can names things you have seen together,{NAME} can names the things you have seen together like when on a walk such as a dog or firetruck.,6,19,2555
744,Begins to use verbs,"{NAME} uses verbs like ""do,"" help,"" ""go"".",6,19,2556
745,Uses words to request food or drink,{NAME} uses words to request food or drink.,6,19,2570
746,Repeats new words,{NAME} repeats new words.,6,20,2667
747,Says the names of 2 colors,{NAME} says the names of 2 colors.,6,20,2668
748,Uses adjectives,"{NAME} uses descriptive words such as ""hot"", ""dirty"", ""big"".",6,20,2669
749,Uses words for frequented places,"{NAME} uses words for frequented places like ""park"".",6,20,2670
750,Uses names for family & familiar people,{NAME} uses names for family & familiar people.,6,20,2599
751,Says two-word sentences,{NAME} uses 2 word sentences.,6,21,2776
752,Understands 50-100 words,{NAME} understands 50-100 words.,6,21,2777
753,Has 50-word vocabulary,{NAME} has 50-word vocabulary.,6,21,2776
754,Uses new words weekly,{NAME} uses new words every week.,6,21,2779
755,Responds to simple questions,"{NAME} responds to simple questions such as ""Who is that?"", ""Where is your ball?""",6,22,2878
756,Uses words to express feelings,"{NAME} uses words to express feelings such as ""I am mad.""",6,22,2880
757,Points to body parts when named,"{NAME} points to body parts when named such as mouth, nose, & eyes.",6,23,2917
758,Can say {HISHER} name,{NAME} can say {HISHER} name.,6,23,2996
759,Uses phrases to ask questions,"{NAME} uses phrases to ask questions such as ""What's that?""",6,23,2977
760,Uses phrases to ask for help,"{NAME} uses phrases to ask for help such as ""Mommy help!""",6,23,2978
761,Asks for names of things,{NAME} asks for names of things.,6,23,2977
762,Talks in a way that imitates the flow of a conversation,{NAME} talks in a way that imitates the flow of a conversation.,6,24,3073
763,Uses prepositions to describe object's location,"{NAME} uses words like ""in"", ""out"", ""off"", or ""on"" to describes and object's location.",6,24,3028
764,Uses some pronouns,"{NAME} uses ""I"", ""me"" & ""you"".",6,24,3076
765,Uses words to describe something that is not in sight,"{NAME} uses words to describe something that is not in sight like ""doggie gone"".",6,24,3075
766,Has 100-word vocabulary,{NAME} has 100-word vocabulary.,6,24,3077
767,Understands 200-300 words,{NAME} understands 200-300 words.,6,24,3080
768,Mimics others inflections & gestures,{NAME} mimics others inflections in speech & hand gestures.,6,25,3135
769,Begins to use conjunctions,"{NAME} is beginning to use conjunctions such as ""and"".",6,25,3167
770,"Uses ""k,"" ""g,"" ""f,""""t,"" ""d,"" and ""n"" in words","{NAME} uses ""k"", ""g"", ""f"", ""t"", ""d"", & ""n"" in words such as ""kitten"".",6,26,3260
771,Starts to say adjectives for size & color,"{NAME} starts to say adjectives for size & color such as ""big"" & ""yellow"".",6,27,3348
772,"Says ""me"" & ""mine""","{NAME} says ""me"" & ""mine"".",6,27,3352
773,Uses words to explain which objects belong to whom,"{NAME} uses possessives and possessive pronouns to explain which objects belong to whom such as ""my cup"" or ""mommy's shoe"".",6,28,3445
774,Has memorized & can recite letters of the alphabet,"{NAME} has memorized & can recite letters of the alphabet, but doesn't recognize the letters.",6,29,3539
775,Has a 450-word vocabulary,{NAME} has a 450-word vocabulary.,6,30,3655
776,Says 3-word sentences,{NAME} says 3-word sentences.,6,30,3657
777,Recites rhymes & sings along with songs,{NAME} recites rhymes & sings along with songs.,6,30,3656
778,Is able to say all of the syllables in a multi-syllabic words,"{NAME} is able to say all of the syllables in a multi-syllabic words like ""umbrella"" without dropping any syllables such as ""brella"".",6,31,3765
779,Says all vowels,{NAME} is able to say all of the vowel sounds,6,31,3767
780,"Adds ""s"" sound to words to create plurals","{NAME} adds ""s"" sound to words to create plurals.",6,32,1205
781,Says 18 different consonants in 10 minutes,"When {NAME} talks, {HESHE} has a large enough vocabulary to include 10 different consonants in a 10 minute period.",6,32,3875
782,Uses more pronouns,"{NAME} uses pronouns such as I, me, mine, you, yours, he, she, we, it.",6,33,1558
783,Says 4-word sentences,{NAME} says 4-word sentences.,6,33,1552
784,"Uses past tense by adding ""d"" sound to verbs","{NAME} uses past tense by adding ""d"" sound to verbs such as ""cooked"".",6,34,4051
785,Recognizes & can name a friend,{NAME} recognizes & can name a friend.,6,34,4007
786,"Asks ""What"" or ""Where""","{NAME} asks ""What"" or ""Where"" questions.",6,35,4179
787,"Adds ""-ing"" to some verbs","{NAME} adds ""-ing"" to some verbs such as ""going"".",6,35,4160
788,Says 4 to 5-word sentences,{NAME} says 4 to 5-word sentences.,6,36,4265
789,Has 900-1000 word vocabulary,{NAME} has 900-1000 word vocabulary.,6,36,4266
790,Correctly uses all vowels,{NAME} correctly uses all vowels.,6,36,4271
791,"Correctly use some consonants ""p"", ""m"", ""h"", ""n"", ""w""","{NAME} correctly use some consonants ""p"", ""m"", ""h"", ""n"", ""w"".",6,36,4270
792,"Asks ""Why"" & ""Who""","{NAME} asks ""Why"" & ""Who"".",6,37,
793,Strangers can understand what {HESHE} is saying,{NAME} should be able to be understood by and adult outside of household 75% of the time.,6,37,
794,Uses more pronouns,"{NAME} uses pronouns such as they, us, hers, his, them and her.",6,37,
795,Has memorized & can recite numbers 1 - 10,{NAME} has memorized & can recite numbers 1 - 10.,6,38,
796,Says rhyming words,"{NAME} says rhyming words like ""hat-cat"".",6,38,
797,Can tell you what happened when you are out of the room,{NAME} can tell you what happened when you are out of the room.,6,39,
798,Articulates well enough that strangers can understand,{NAME} articulates well enough that strangers can understand.,6,40,
799,Talks about what happened during the day,{NAME} can talk about what happened during the day.,6,40,
800,Can name familiar things,{NAME} can name familiar things.,6,41,
801,Responds to you when you call from another room,{NAME} responds to you when you call from another room.,6,41,
802,Can retell favorite stories,{NAME} can retell favorite stories.,6,42,
803,Begins to understand some concepts of time,"{NAME} is beginning to understand time concepts of ""soon"", ""later"", or ""wait"".",6,43,
804,Can tell you {HISHER} full name,{NAME} can tell you {HISHER} full name.,6,44,
805,Uses more pronouns,"{NAME} uses pronouns such as its, our, him, myself, yourself, ours, their, and theirs.",6,44,
806,"Uses ""please"" & ""thank you""","{NAME} uses ""please"" & ""thank you"".",6,45,
807,Knows & can tell you {HISHER} age,{NAME} knows & can tell you {HISHER} age.,6,45,
808,Can have 2 to 3 sentence conversation,{NAME} can have 2-3 sentence conversation.,6,46,
809,Understands long sentences,{NAME} understands long sentences.,6,46,
810,Says 5 or more word sentences,{NAME} says 5 or more word sentences.,6,47,
811,Has 1500 - 2500 word vocabulary,{NAME} has 1500 - 2500 word vocabulary.,6,47,
812,Uses more pronouns,"{NAME} uses pronouns such as herself, himself, itself, ourselves, yourselves, and themselves.",6,47,
